id_station,name,geometry,mode,opening
42552,Άδενδρο,POINT(22.603103366387813 40.674576417187495),0.0,1894.0
42553,Σίνδος,POINT(22.805335010290577 40.67430579038347),0.0,1894.0
42554,Διαλογή,POINT(22.886686184111312 40.66825651229743),0.0,1894.0
42555,Θεσσαλονίκη,POINT(22.92973795033086 40.644764560706534),0.0,1951.0
39188,Βενιζέλου,POINT(22.94182613317213 40.6370911653986),0.0,2024.0
39189,Αγίας Σοφίας,POINT(22.946556584616644 40.634640177795234),0.0,2024.0
39194,Φλέμινγκ,POINT(22.957354123292927 40.61166486411431),0.0,2024.0
39195,Ανάληψη,POINT(22.957865467464458 40.60610822086477),0.0,2024.0
39196,25ης Μαρτίου,POINT(22.958477164414983 40.60071614953233),0.0,2024.0
39197,Βούλγαρη,POINT(22.96047346092973 40.595428368449376),0.0,2024.0
39199,Νομαρχία,POINT(22.95751206779316 40.59182171330184),0.0,2025.0
39200,Καλαμαριά,POINT(22.95309591117891 40.58442772485872),0.0,2025.0
39198,Νέα Ελβετία,POINT(22.969506052274646 40.59326046824123),0.0,2024.0
39201,Αρετσού,POINT(22.95436866957384 40.57859881857401),0.0,2025.0
39202,Νέα Κρήνη,POINT(22.960985343541573 40.57247787645301),0.0,2025.0
39203,Μίκρα,POINT(22.966111330426106 40.56814585510279),0.0,2025.0
42556,Πλατύ,POINT(22.53285614060681 40.63865133741359),0.0,1894.0
42557,Λάρισα,POINT(22.422542462436127 39.62932625482807),0.0,1894.0
42558,Αεροδρόμιο,POINT(22.437700691504688 39.65061865328653),0.0,1970.0
42559,Μακρυχώρι,POINT(22.50031050156693 39.79799307166695),0.0,1894.0
42560,Ευαγγελισμός,POINT(22.51495384459207 39.83439368149334),0.0,1894.0
42561,Ιτέα,POINT(22.52673535754363 39.86232326084675),0.0,1894.0
42562,Νέοι Πόροι,POINT(22.638557321956256 39.97608575721148),0.0,1894.0
42563,Νέος Παντελεήμονας,POINT(22.589397578586073 40.01196269342452),0.0,1894.0
42564,Λεπτοκαρυά,POINT(22.56533923681434 40.060410985711144),0.0,1894.0
42565,Κατερίνη,POINT(22.531675683944172 40.2683900116524),0.0,1894.0
42566,Κορινός,POINT(22.578297003341106 40.316884211085124),0.0,1894.0
42567,Μακρύγιαλος,POINT(22.5926346017703 40.41521734204278),0.0,1894.0
42568,Μεθώνη,POINT(22.584210926027623 40.444346768564316),0.0,1894.0
42569,Αιγίνιο,POINT(22.546303273256797 40.50421321903741),0.0,1894.0
42570,Φλώρινα,POINT(21.41519640442209 40.7812561617655),0.0,1894.0
42571,Μεσονήσι,POINT(21.46553069125912 40.79491766711854),0.0,1894.0
42572,Σταθμός Βεύης,POINT(21.56786327640927 40.77348008501244),0.0,1894.0
42573,Ξινό Νερό,POINT(21.633711449101668 40.69131803324933),0.0,1894.0
42574,Αμύνταιο,POINT(21.68439887642279 40.69055115939864),0.0,1894.0
42575,Άγιος Παντελεήμονας,POINT(21.745659916244307 40.72666208413921),0.0,1894.0
42576,Άρνισσα,POINT(21.83488592975118 40.797994947339674),0.0,1894.0
42577,Έδεσσα,POINT(22.050050108418674 40.808961734392426),0.0,1894.0
42578,Μαυροβούνι,POINT(22.151068407946752 40.78327919432331),0.0,1894.0
42579,Σκύδρα,POINT(22.15772436701903 40.76817386783907),0.0,1894.0
42580,Πετρέα,POINT(22.14082812434674 40.72022456462051),0.0,1894.0
42581,Επισκοπή,POINT(22.140890665558175 40.686595236926564),0.0,1894.0
42582,Πατρίδα,POINT(22.193587675030784 40.56201213863869),0.0,1894.0
42583,Βέροια,POINT(22.21397659226153 40.53929367408389),0.0,1894.0
42584,Μέση,POINT(22.26561437629306 40.52782319307215),,1894.0
42585,Κουλούρα,POINT(22.314190293106776 40.549206138461244),0.0,1894.0
42586,Ξεχασμένη,POINT(22.340238371165242 40.564395729238186),0.0,1894.0
42587,Αλεξάνδρεια,POINT(22.441838477970066 40.620247172256),0.0,1894.0
42588,Νάουσα,POINT(22.13425043456897 40.62136753091278),0.0,1894.0
42589,Λουτρός,POINT(22.39765254879677 40.59774968624984),0.0,1894.0
42590,Διαβατά,POINT(22.85453464252157 40.68571814015078),0.0,1894.0
42591,Πεντάλοφος,POINT(22.83188751474532 40.746447370713355),0.0,1894.0
42592,Νέα Φιλαδέλφεια,POINT(22.845974835641243 40.79452544191531),0.0,1894.0
42593,Γαλλικός,POINT(22.884705689181374 40.859101659481354),0.0,1894.0
42594,Μάνδρες,POINT(22.90515024733608 40.87219319475466),0.0,1894.0
42595,Πεδινό,POINT(22.876772266726107 40.91545136555783),0.0,1894.0
42596,Κιλκίς,POINT(22.856888936052542 40.95927822090249),0.0,1894.0
42597,Σταυροχώρι,POINT(22.802691650391353 41.0371608962557),0.0,1894.0
42598,Χέρσο,POINT(22.783007821221332 41.09151120980147),0.0,1894.0
42608,Θρακικό Ομαλό,POINT(23.196991664243853 41.26132746816873),0.0,1894.0
42609,Βυρώνεια,POINT(23.252864866230084 41.262109120988384),0.0,1894.0
42610,Νέο Πετρίτσι,POINT(23.298359584592106 41.27000874535835),0.0,1894.0
42611,Στρυμόνας,POINT(23.34484462812776 41.26243488007847),0.0,1894.0
42612,Σιδηρόκαστρο,POINT(23.37611829233279 41.228362874056415),0.0,1894.0
42613,Βαμβακόφυτο,POINT(23.389767359217956 41.171089805744174),0.0,1894.0
42614,Σέρρες,POINT(23.536364550193696 41.073799640467485),0.0,1894.0
39187,Δημοκρατίας,POINT(22.93482053509821 40.64077835403529),0.0,2024.0
42618,Παλιός Σιδηροδρομικός Σταθμός,POINT(22.924912337228193 40.641919132638094),0.0,1893.0
42619,Πύλη Αξιού,POINT(22.930930247101855 40.63956990988646),0.0,1893.0
42620,Λιμάνι,POINT(22.9349560856206 40.63538039188421),0.0,1893.0
42621,Λιμάνι,POINT(22.93635799458906 40.63642306803186),0.0,1924.0
42622,Πλατεία Ελευθερίας,POINT(22.93759931739885 40.63358845136045),0.0,1893.0
42623,Πλατεία Εμπορίου,POINT(22.9388271060333 40.63508891008166),0.0,1924.0
42624,Πλατεία Αριστοτέλους,POINT(22.940491011635828 40.63195628126368),0.0,1893.0
42625,Πλατεία Αριστοτέλους,POINT(22.941890239925186 40.63337940928497),0.0,1924.0
42626,Μητρόπολη,POINT(22.943927585771576 40.62978367494725),0.0,1893.0
42627,Μητρόπολη,POINT(22.945856998555314 40.630920869619274),0.0,1924.0
42628,Πλατεία Ναυαρίνου,POINT(22.94875059603953 40.62906513108885),0.0,1924.0
42629,Λευκός Πύργος,POINT(22.947377399374687 40.62741846692211),0.0,1893.0
42631,Αγία Τριάδα,POINT(22.95448149138832 40.61860255867765),0.0,1893.0
42632,Αγία Τριάδα,POINT(22.958150944644387 40.61898645348424),0.0,1895.0
42633,Φάληρο,POINT(22.954036929696827 40.613973622472685),0.0,1893.0
42634,Μπότσαρη,POINT(22.953356805776053 40.60788290755542),0.0,1893.0
42630,ΧΑΝΘ,POINT(22.952845100246236 40.62631965294932),0.0,1893.0
42635,25ης Μαρτίου,POINT(22.954580187700145 40.59954039719065),0.0,1893.0
42636,Ντεπώ,POINT(22.956678375093816 40.595431105722355),0.0,1893.0
42637,Πλατεία Μεταξά,POINT(22.93512518664005 40.64044116859279),0.0,1895.0
42638,Κολόμβου,POINT(22.938309066984402 40.63888627866493),0.0,1895.0
42648,Χαριλάου,POINT(22.965614657139184 40.60255815654796),0.0,1924.0
42649,Στρατώνες,POINT(22.95937542442445 40.60085255979084),0.0,1895.0
39186,Νέος Σιδηροδρομικός Σταθμός,POINT(22.928767300716885 40.643959487065075),0.0,2024.0
