id_station,name,geometry,mode,opening
7694,Keisei Tsudanuma,POINT(140.02481219712917 35.683774478472316),0.0,1921.0
7695,Keisei Makuhari-Hongo,POINT(140.0421467251747 35.67260211599806),0.0,1991.0
7696,Keisei Makuhari,POINT(140.05607709328592 35.660559122596055),0.0,1921.0
7697,Kemigawa,POINT(140.0663045891066 35.65262803756424),0.0,1921.0
7698,Keisei Inage,POINT(140.08560740241393 35.637803580356334),0.0,1921.0
7699,Midoridai,POINT(140.09754191728155 35.62492331388863),0.0,1923.0
7700,Nishi-Nobuto,POINT(140.102753500154 35.617733137675586),0.0,1922.0
7701,Shin-Chiba,POINT(140.10842330834072 35.61244011115838),0.0,1923.0
7702,Keisei Chiba,POINT(140.11416352572104 35.611676413258365),0.0,1967.0
7703,Chiba-Chuo,POINT(140.1179092174201 35.60734563421373),0.0,1921.0
7704,Chigasaki,POINT(139.4073352577539 35.330842075948524),0.0,1921.0
7705,Samukawa,POINT(139.38736977055441 35.36763194335434),0.0,1921.0
7706,Kurami,POINT(139.37838111492326 35.394902404615046),0.0,1926.0
7707,Atsugi,POINT(139.37859007168504 35.443706050224165),0.0,1926.0
7709,Kita-Chigasaki,POINT(139.40778574942243 35.33914541363846),0.0,1940.0
7711,Miyayama,POINT(139.37969309887882 35.38183832971454),0.0,1931.0
7713,Shake,POINT(139.37719695239775 35.42067629652864),0.0,1926.0
9191,Fukagawa-nichome,POINT(139.79751702498487 35.677619296199396),0.0,1908.0
7708,Hashimoto,POINT(139.34489334816175 35.59482751309139),0.0,1931.0
6008,Hatanodai,POINT(139.70274552103263 35.604863304402556),0.0,1927.0
6009,Hatanodai,POINT(139.70275440791363 35.604871562095326),0.0,1963.0
7710,Kagawa,POINT(139.39998023962136 35.356151197105575),0.0,1921.0
7712,Kadosawabashi,POINT(139.38043857363886 35.406447526086524),0.0,1931.0
6005,Kita-Senzoku,POINT(139.69339331122507 35.60627941866878),0.0,1928.0
6102,Asakusa,POINT(139.79227936120162 35.71296230581777),0.0,2005.0
6006,Kita-Senzoku,POINT(139.69341092858184 35.60630254157931),0.0,1963.0
6007,Kita-Senzoku,POINT(139.69340440746282 35.60628928683151),0.0,1979.0
6010,Hatanodai,POINT(139.70273790373142 35.6048560789323),0.0,1979.0
6026,Ohashi,POINT(139.6868113689003 35.651803681139555),0.0,1907.0
6011,Ebaramachi,POINT(139.70757959810237 35.60385951951484),0.0,1927.0
6012,Ebaramachi,POINT(139.70757959810237 35.60387310896796),0.0,1963.0
6013,Ebaramachi,POINT(139.70757820527132 35.603865181790084),0.0,1979.0
6034,Sakura-Shimmachi,POINT(139.6440060717673 35.6315405632711),0.0,1907.0
6014,Nakanobu,POINT(139.71264263028053 35.60573881150847),0.0,1927.0
6015,Nakanobu,POINT(139.71263156700417 35.60574630725428),0.0,1963.0
6016,Nakanobu,POINT(139.71263707584086 35.605741461421104),0.0,1979.0
6035,Tamaden-Seta,POINT(139.63074355662127 35.62057302645297),0.0,1907.0
6017,Togoshi-koen,POINT(139.71831946211944 35.60895200746917),0.0,1927.0
6018,Togoshi-koen,POINT(139.71831768209665 35.60896286147627),0.0,1963.0
6099,Urawa-Misono,POINT(139.72757453343718 35.893947202522014),0.0,2001.0
6019,Togoshi-koen,POINT(139.71832925244058 35.60896286147627),0.0,1979.0
6082,Hodogaya,POINT(139.5996561804663 35.44666986077954),0.0,1980.0
6020,Shimo-Shimmei,POINT(139.72640663163048 35.60872824829907),0.0,1927.0
6021,Shimo-Shimmei,POINT(139.72641731194506 35.60874561476116),0.0,1963.0
6022,Shimo-Shimmei,POINT(139.7264155318867 35.60873765512777),0.0,1979.0
6038,Sasazuka,POINT(139.66706060701068 35.67362376076095),0.0,1913.0
6023,Oimachi,POINT(139.7343769354348 35.60755219730552),0.0,1927.0
6095,Hatogaya,POINT(139.7361585293619 35.83087967303476),0.0,2001.0
6024,Oimachi,POINT(139.7343791649206 35.60757213613883),0.0,1963.0
6037,Hatagaya,POINT(139.6769726070069 35.676852644740684),0.0,1913.0
6025,Oimachi,POINT(139.7343791649206 35.60756216672735),0.0,1979.0
6083,Higashi-Totsuka,POINT(139.5566889618861 35.43033056348429),0.0,1980.0
6041,Chofu,POINT(139.54419349069292 35.651893559514534),0.0,1913.0
6043,Keio-Hachioji,POINT(139.34341881639443 35.65771280996498),0.0,1925.0
6081,Yokohama,POINT(139.62249478515628 35.466494924997576),0.0,1980.0
